classifier,encoder,imputer,oversampling,preprocessing1,preprocessing2,undersampling,Accuracy
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",StandardScaler(),PCA(),NearMiss(),0.7323790496795327
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",StandardScaler(),PCA(),passthrough,0.7321501600297237
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",StandardScaler(),passthrough,NearMiss(),0.7318260932641539
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",StandardScaler(),passthrough,passthrough,0.7349273496345841
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",passthrough,PCA(),NearMiss(),0.4202435129106705
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",passthrough,PCA(),passthrough,0.42446767603186675
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",passthrough,passthrough,NearMiss(),0.4834729683209182
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])","SMOTENC(categorical_features=[0, 1, 2, 3])",passthrough,passthrough,passthrough,0.47491232727113203
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])",passthrough,StandardScaler(),PCA(),NearMiss(),0.7044618833098298
"LogisticRegression(n_jobs=-1, random_state=1410950)","ColumnTransformer(remainder='passthrough',
                  transformers=[('ordinalencoder',
                                 OrdinalEncoder(categories=[array(['Automatic', 'Manual'], dtype=object),
                                                            array(['Fourth & Above', 'Third', 'Second', 'First'], dtype=object)]),
                                 [2, 3]),
                                ('onehotencoder',
                                 OneHotEncoder(categories=[array(['B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L'],
      dtype=object),
                                                           array(['CNG', 'Diesel', 'Electric', 'LPG', 'Petrol'], dtype=object)]),
                                 [0, 1])])","ColumnTransformer(transformers=[('catimputer',
                                 SimpleImputer(strategy='most_frequent'),
                                 [0, 3, 4, 5]),
                                ('numimputer',
                                 IterativeImputer(random_state=1410950),
                                 [1, 2, 6, 7, 8, 9]),
                                ('discimputer',
                                 SimpleImputer(strategy='constant'), [10])])",passthrough,StandardScaler(),PCA(),passthrough,0.6959240918514887
