oversampler,rf__class_weight,rf__criterion,rf__max_depth,rf__max_features,rf__n_estimators,undersampler,Accuracy
passthrough,balanced,gini,100.0,sqrt,10,passthrough,0.7124947789086773
passthrough,balanced,gini,100.0,sqrt,10,RandomUnderSampler(random_state=1410950),0.5877852063240553
passthrough,balanced,gini,100.0,sqrt,10,NearMiss(),0.38666068430654477
passthrough,balanced,gini,100.0,sqrt,100,passthrough,0.7285207671433691
passthrough,balanced,gini,100.0,sqrt,100,RandomUnderSampler(random_state=1410950),0.6298164062184208
passthrough,balanced,gini,100.0,sqrt,100,NearMiss(),0.40594113034269225
passthrough,balanced,gini,100.0,sqrt,500,passthrough,0.725502370038616
passthrough,balanced,gini,100.0,sqrt,500,RandomUnderSampler(random_state=1410950),0.6258710127704525
passthrough,balanced,gini,100.0,sqrt,500,NearMiss(),0.4082634717629907
passthrough,balanced,gini,100.0,sqrt,1000,passthrough,0.7275924234217482
passthrough,balanced,gini,100.0,sqrt,1000,RandomUnderSampler(random_state=1410950),0.6247098420603032
passthrough,balanced,gini,100.0,sqrt,1000,NearMiss(),0.4043161919852543
passthrough,balanced,gini,100.0,log2,10,passthrough,0.7124947789086773
passthrough,balanced,gini,100.0,log2,10,RandomUnderSampler(random_state=1410950),0.5877852063240553
passthrough,balanced,gini,100.0,log2,10,NearMiss(),0.38666068430654477
passthrough,balanced,gini,100.0,log2,100,passthrough,0.7285207671433691
passthrough,balanced,gini,100.0,log2,100,RandomUnderSampler(random_state=1410950),0.6298164062184208
passthrough,balanced,gini,100.0,log2,100,NearMiss(),0.40594113034269225
passthrough,balanced,gini,100.0,log2,500,passthrough,0.725502370038616
passthrough,balanced,gini,100.0,log2,500,RandomUnderSampler(random_state=1410950),0.6258710127704525
passthrough,balanced,gini,100.0,log2,500,NearMiss(),0.4082634717629907
passthrough,balanced,gini,100.0,log2,1000,passthrough,0.7275924234217482
passthrough,balanced,gini,100.0,log2,1000,RandomUnderSampler(random_state=1410950),0.6247098420603032
passthrough,balanced,gini,100.0,log2,1000,NearMiss(),0.4043161919852543
passthrough,balanced,gini,100.0,,10,passthrough,0.7222500680426095
passthrough,balanced,gini,100.0,,10,RandomUnderSampler(random_state=1410950),0.606591914112711
passthrough,balanced,gini,100.0,,10,NearMiss(),0.3274455591755122
passthrough,balanced,gini,100.0,,100,passthrough,0.7313066067352751
passthrough,balanced,gini,100.0,,100,RandomUnderSampler(random_state=1410950),0.626099258672401
passthrough,balanced,gini,100.0,,100,NearMiss(),0.3316251269904148
passthrough,balanced,gini,100.0,,500,passthrough,0.7338606972413774
passthrough,balanced,gini,100.0,,500,RandomUnderSampler(random_state=1410950),0.6323721135786101
passthrough,balanced,gini,100.0,,500,NearMiss(),0.32953453465592
passthrough,balanced,gini,100.0,,1000,passthrough,0.7317701049068827
passthrough,balanced,gini,100.0,,1000,RandomUnderSampler(random_state=1410950),0.6298164062184208
passthrough,balanced,gini,100.0,,1000,NearMiss(),0.32953399570455766
passthrough,balanced,gini,500.0,sqrt,10,passthrough,0.7124947789086773
passthrough,balanced,gini,500.0,sqrt,10,RandomUnderSampler(random_state=1410950),0.5877852063240553
passthrough,balanced,gini,500.0,sqrt,10,NearMiss(),0.38666068430654477
passthrough,balanced,gini,500.0,sqrt,100,passthrough,0.7285207671433691
passthrough,balanced,gini,500.0,sqrt,100,RandomUnderSampler(random_state=1410950),0.6298164062184208
passthrough,balanced,gini,500.0,sqrt,100,NearMiss(),0.40594113034269225
passthrough,balanced,gini,500.0,sqrt,500,passthrough,0.725502370038616
passthrough,balanced,gini,500.0,sqrt,500,RandomUnderSampler(random_state=1410950),0.6258710127704525
passthrough,balanced,gini,500.0,sqrt,500,NearMiss(),0.4082634717629907
passthrough,balanced,gini,500.0,sqrt,1000,passthrough,0.7275924234217482
passthrough,balanced,gini,500.0,sqrt,1000,RandomUnderSampler(random_state=1410950),0.6247098420603032
passthrough,balanced,gini,500.0,sqrt,1000,NearMiss(),0.4043161919852543
passthrough,balanced,gini,500.0,log2,10,passthrough,0.7124947789086773
passthrough,balanced,gini,500.0,log2,10,RandomUnderSampler(random_state=1410950),0.5877852063240553
passthrough,balanced,gini,500.0,log2,10,NearMiss(),0.38666068430654477
