id,Precio_cat
4820,2
4821,2
4822,3
4823,3
4824,1
4825,5
4826,4
4827,3
4828,4
4829,4
4830,5
4831,1
4832,2
4833,5
4834,4
4835,2
4836,5
4837,5
4838,1
4839,2
4840,1
4841,1
4842,4
4843,2
4844,3
4845,5
4846,3
4847,4
4848,3
4849,4
4850,3
4851,3
4852,5
4853,2
4854,2
4855,5
4856,1
4857,3
4858,1
4859,1
4860,3
4861,5
4862,1
4863,3
4864,3
4865,4
4866,3
4867,3
4868,5
4869,2
4870,3
4871,5
4872,1
4873,2
4874,1
4875,5
4876,3
4877,2
4878,1
4879,4
4880,3
4881,4
4882,1
4883,2
4884,1
4885,3
4886,2
4887,5
4888,4
4889,3
4890,5
4891,3
4892,3
4893,3
4894,5
4895,3
4896,3
4897,3
4898,3
4899,2
4900,5
4901,3
4902,3
4903,2
4904,1
4905,4
4906,3
4907,4
4908,3
4909,2
4910,4
4911,3
4912,1
4913,5
4914,1
4915,5
4916,5
4917,2
4918,1
4919,3
4920,3
4921,2
4922,5
4923,3
4924,5
4925,1
4926,3
4927,3
4928,1
4929,5
4930,2
4931,2
4932,1
4933,5
4934,5
4935,5
4936,2
4937,1
4938,3
4939,2
4940,3
4941,4
4942,5
4943,3
4944,3
4945,1
4946,2
4947,2
4948,3
4949,2
4950,2
4951,5
4952,5
4953,2
4954,2
4955,1
4956,2
4957,3
4958,2
4959,3
4960,2
4961,4
4962,5
4963,5
4964,2
4965,5
4966,3
4967,3
4968,3
4969,4
4970,5
4971,5
4972,2
4973,5
4974,5
4975,5
4976,5
4977,5
4978,2
4979,5
4980,3
4981,3
4982,3
4983,4
4984,4
4985,2
4986,3
4987,3
4988,1
4989,5
4990,1
4991,2
4992,5
4993,4
4994,3
4995,5
4996,5
4997,2
4998,3
4999,5
5000,5
5001,4
5002,5
5003,3
5004,3
5005,5
5006,3
5007,5
5008,5
5009,3
5010,4
5011,4
5012,4
5013,2
5014,5
5015,3
5016,3
5017,5
5018,5
5019,5
5020,1
5021,4
5022,1
5023,1
5024,3
5025,5
5026,3
5027,2
5028,1
5029,4
5030,5
5031,1
5032,5
5033,4
5034,3
5035,2
5036,4
5037,2
5038,5
5039,3
5040,5
5041,4
5042,3
5043,3
5044,2
5045,4
5046,3
5047,1
5048,2
5049,3
5050,5
5051,5
5052,5
5053,3
5054,1
5055,5
5056,3
5057,5
5058,5
5059,4
5060,3
5061,2
5062,3
5063,3
5064,3
5065,3
5066,4
5067,5
5068,3
5069,2
5070,3
5071,5
5072,3
5073,4
5074,4
5075,3
5076,2
5077,5
5078,3
5079,2
5080,5
5081,2
5082,3
5083,2
5084,3
5085,5
5086,4
5087,3
5088,3
5089,1
5090,2
5091,3
5092,3
5093,3
5094,3
5095,4
5096,3
5097,5
5098,1
5099,5
5100,4
5101,3
5102,4
5103,3
5104,3
5105,1
5106,3
5107,5
5108,3
5109,3
5110,2
5111,3
5112,4
5113,2
5114,4
5115,4
5116,4
5117,4
5118,3
5119,1
5120,3
5121,2
5122,3
5123,3
5124,3
5125,2
5126,3
5127,3
5128,4
5129,3
5130,5
5131,5
5132,4
5133,2
5134,3
5135,2
5136,3
5137,1
5138,3
5139,3
5140,4
5141,2
5142,2
5143,4
5144,3
5145,3
5146,1
5147,4
5148,5
5149,4
5150,5
5151,2
5152,5
5153,4
5154,1
5155,3
5156,4
5157,3
5158,3
5159,3
5160,4
5161,3
5162,2
5163,3
5164,2
5165,1
5166,1
5167,3
5168,3
5169,4
5170,5
5171,3
5172,5
5173,2
5174,4
5175,1
5176,3
5177,3
5178,5
5179,4
5180,4
5181,1
5182,2
5183,3
5184,4
5185,4
5186,4
5187,4
5188,3
5189,4
5190,2
5191,4
5192,3
5193,4
5194,3
5195,4
5196,3
5197,5
5198,4
5199,3
5200,1
5201,2
5202,4
5203,5
5204,4
5205,1
5206,4
5207,3
5208,1
5209,5
5210,2
5211,5
5212,1
5213,5
5214,5
5215,3
5216,3
5217,3
5218,3
5219,5
5220,5
5221,3
5222,2
5223,3
5224,2
5225,5
5226,1
5227,3
5228,5
5229,5
5230,4
5231,3
5232,3
5233,3
5234,2
5235,1
5236,1
5237,2
5238,3
5239,1
5240,4
5241,2
5242,5
5243,5
5244,2
5245,2
5246,5
5247,3
5248,3
5249,3
5250,3
5251,3
5252,3
5253,5
5254,3
5255,2
5256,4
5257,3
5258,3
5259,5
5260,5
5261,3
5262,4
5263,3
5264,1
5265,3
5266,2
5267,5
5268,3
5269,4
5270,5
5271,2
5272,1
5273,5
5274,4
5275,5
5276,5
5277,1
5278,3
5279,4
5280,5
5281,5
5282,3
5283,5
5284,5
5285,2
5286,4
5287,4
5288,5
5289,2
5290,5
5291,3
5292,3
5293,3
5294,3
5295,2
5296,2
5297,3
5298,2
5299,2
5300,4
5301,3
5302,3
5303,4
5304,4
5305,5
5306,3
5307,2
5308,4
5309,2
5310,3
5311,1
5312,3
5313,4
5314,5
5315,5
5316,5
5317,3
5318,2
5319,3
5320,1
5321,5
5322,1
5323,2
5324,5
5325,1
5326,3
5327,3
5328,1
5329,2
5330,3
5331,1
5332,2
5333,2
5334,2
5335,3
5336,2
5337,4
5338,3
5339,3
5340,5
5341,4
5342,5
5343,2
5344,1
5345,4
5346,5
5347,5
5348,5
5349,4
5350,3
5351,4
5352,4
5353,2
5354,3
5355,2
5356,5
5357,3
5358,5
5359,3
5360,5
5361,4
5362,3
5363,1
5364,3
5365,5
5366,3
5367,3
5368,4
5369,5
5370,3
5371,2
5372,2
5373,5
5374,3
5375,4
5376,5
5377,3
5378,3
5379,4
5380,4
5381,2
5382,3
5383,2
5384,4
5385,3
5386,3
5387,3
5388,2
5389,2
5390,4
5391,5
5392,5
5393,5
5394,3
5395,5
5396,5
5397,2
5398,5
5399,3
5400,3
5401,3
5402,4
5403,3
5404,5
5405,1
5406,3
5407,3
5408,3
5409,2
5410,1
5411,2
5412,1
5413,3
5414,2
5415,3
5416,3
5417,2
5418,4
5419,5
5420,5
5421,5
5422,5
5423,2
5424,3
5425,3
5426,1
5427,4
5428,1
5429,1
5430,3
5431,5
5432,5
5433,4
5434,3
5435,3
5436,3
5437,3
5438,3
5439,4
5440,2
5441,3
5442,4
5443,3
5444,1
5445,5
5446,2
5447,2
5448,3
5449,5
5450,3
5451,1
5452,5
5453,1
5454,5
5455,2
5456,5
5457,5
5458,4
5459,4
5460,5
5461,3
5462,5
5463,5
5464,3
5465,3
5466,5
5467,2
5468,1
5469,4
5470,3
5471,2
5472,2
5473,1
5474,3
5475,4
5476,1
5477,3
5478,3
5479,4
5480,2
5481,1
5482,4
5483,4
5484,3
5485,5
5486,2
5487,5
5488,3
5489,2
5490,3
5491,4
5492,3
5493,1
5494,5
5495,3
5496,4
5497,3
5498,4
5499,2
5500,2
5501,5
5502,5
5503,3
5504,3
5505,3
5506,3
5507,5
5508,1
5509,2
5510,5
5511,3
5512,1
5513,3
5514,3
5515,3
5516,4
5517,2
5518,4
5519,2
5520,4
5521,3
5522,2
5523,2
5524,2
5525,5
5526,3
5527,1
5528,2
5529,5
5530,5
5531,3
5532,5
5533,4
5534,3
5535,4
5536,4
5537,1
5538,2
5539,2
5540,1
5541,4
5542,3
5543,3
5544,1
5545,1
5546,1
5547,3
5548,1
5549,5
5550,5
5551,2
5552,2
5553,1
5554,4
5555,2
5556,5
5557,3
5558,3
5559,1
5560,4
5561,4
5562,3
5563,3
5564,3
5565,4
5566,4
5567,3
5568,4
5569,3
5570,2
5571,2
5572,3
5573,3
5574,1
5575,2
5576,3
5577,3
5578,1
5579,2
5580,3
5581,3
5582,5
5583,5
5584,4
5585,2
5586,2
5587,3
5588,4
5589,5
5590,3
5591,5
5592,1
5593,2
5594,2
5595,5
5596,2
5597,3
5598,5
5599,5
5600,4
5601,5
5602,2
5603,3
5604,4
5605,1
5606,4
5607,4
5608,1
5609,2
5610,3
5611,4
5612,4
5613,3
5614,3
5615,4
5616,2
5617,3
5618,3
5619,3
5620,1
5621,1
5622,3
5623,1
5624,4
5625,5
5626,1
5627,1
5628,5
5629,2
5630,2
5631,3
5632,4
5633,4
5634,4
5635,3
5636,4
5637,4
5638,1
5639,1
5640,4
5641,2
5642,1
5643,3
5644,2
5645,3
5646,1
5647,3
5648,1
5649,3
5650,5
5651,5
5652,4
5653,3
5654,1
5655,2
5656,2
5657,3
5658,2
5659,2
5660,5
5661,2
5662,5
5663,5
5664,4
5665,1
5666,4
5667,2
5668,5
5669,5
5670,3
5671,5
5672,3
5673,3
5674,3
5675,2
5676,2
5677,3
5678,2
5679,3
5680,3
5681,1
5682,4
5683,4
5684,3
5685,1
5686,5
5687,2
5688,3
5689,1
5690,3
5691,4
5692,5
5693,4
5694,2
5695,2
5696,4
5697,3
5698,3
5699,4
5700,3
5701,2
5702,4
5703,2
5704,5
5705,5
5706,2
5707,2
5708,5
5709,4
5710,1
5711,3
5712,5
5713,2
5714,1
5715,4
5716,5
5717,3
5718,2
5719,3
5720,4
5721,5
5722,2
5723,1
5724,4
5725,4
5726,3
5727,3
5728,2
5729,3
5730,4
5731,3
5732,5
5733,1
5734,2
5735,2
5736,3
5737,3
5738,5
5739,2
5740,4
5741,3
5742,3
5743,2
5744,4
5745,1
5746,4
5747,3
5748,1
5749,5
5750,3
5751,1
5752,1
5753,5
5754,3
5755,4
5756,2
5757,3
5758,4
5759,4
5760,5
5761,5
5762,3
5763,3
5764,3
5765,4
5766,3
5767,4
5768,5
5769,3
5770,4
5771,2
5772,4
5773,3
5774,5
5775,3
5776,5
5777,3
5778,3
5779,2
5780,5
5781,2
5782,5
5783,5
5784,4
5785,3
5786,5
5787,3
5788,3
5789,2
5790,4
5791,5
5792,5
5793,3
5794,1
5795,3
5796,3
5797,5
5798,3
5799,5
5800,4
5801,3
5802,3
5803,2
5804,5
5805,5
5806,5
5807,3
5808,5
5809,1
5810,4
5811,2
5812,2
5813,5
5814,3
5815,2
5816,3
5817,4
5818,1
5819,4
5820,1
5821,3
5822,3
5823,3
5824,3
5825,3
5826,1
5827,1
5828,5
5829,3
5830,2
5831,3
5832,4
5833,3
5834,1
5835,5
5836,3
5837,2
5838,5
5839,3
5840,5
5841,4
5842,4
5843,3
5844,3
5845,2
5846,2
5847,1
5848,3
5849,3
5850,3
5851,1
5852,2
5853,1
5854,2
5855,2
5856,4
5857,5
