,Consumo,Motor_CC,Potencia,Descuento,Precio_cat,Ciudad_B,Ciudad_C,Ciudad_D,Ciudad_E,Ciudad_F,Ciudad_G,Ciudad_H,Ciudad_I,Ciudad_J,Ciudad_K,Ciudad_L,Tipo_marchas_Automatic,Tipo_marchas_Manual
0,23.4,1248.0,74.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,20.51,998.0,67.04,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,25.32,1198.0,77.0,0.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,18.5,1197.0,80.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,18.7,1199.0,88.7,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,17.8,1248.0,75.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,23.4,1248.0,74.0,0.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,16.8,1497.0,118.0,0.0,3.0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,18.6,1197.0,81.83,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,25.2,1248.0,74.0,0.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,1
10,10.91,3198.0,197.0,0.0,5.0,1,0,0,0,0,0,0,0,0,0,0,1,0
12,17.5,1298.0,85.8,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,25.8,1498.0,98.6,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,1
14,18.25,1968.0,187.74,53.14,5.0,0,0,0,1,0,0,0,0,0,0,0,1,0
15,10.0,2496.0,157.7,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0
16,11.5,2982.0,171.0,0.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,1
17,19.1,1197.0,85.8,0.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,14.21,2143.0,203.0,0.0,5.0,0,0,0,0,0,0,0,0,1,0,0,1,0
