,0
0,4
1,4
2,2
3,4
4,4
5,4
6,0
7,4
8,4
9,0
10,2
11,0
12,2
13,2
14,0
15,4
16,0
17,4
18,4
19,2
20,4
21,4
22,2
23,4
24,0
25,4
26,2
27,4
28,4
29,0
30,4
31,4
32,4
33,0
34,0
35,4
36,0
37,4
38,4
39,4
40,4
41,2
42,0
43,0
44,0
45,2
46,2
47,2
48,4
49,0
50,2
51,4
52,2
53,2
54,0
55,2
56,4
57,4
58,0
59,0
60,4
61,4
62,4
63,4
64,0
65,2
66,4
67,4
68,4
69,2
70,2
71,0
72,0
73,4
74,4
75,4
76,2
77,4
78,0
79,0
80,4
81,0
82,4
83,2
84,4
85,2
86,0
87,2
88,4
89,0
90,0
91,0
92,4
93,0
94,0
95,4
96,0
97,0
98,0
99,4
100,2
101,0
102,0
103,0
104,0
105,0
106,4
107,2
108,4
109,4
110,4
111,4
112,4
113,2
114,4
115,4
116,4
117,2
118,4
119,4
120,4
121,4
122,2
123,0
124,4
125,4
126,2
127,4
128,2
129,2
130,4
131,4
132,4
133,4
134,0
135,2
136,4
137,2
138,0
139,4
140,4
141,0
142,4
143,0
144,0
145,0
146,0
147,0
148,0
149,4
150,4
151,0
152,0
153,2
154,2
155,2
156,4
157,2
158,2
159,2
160,2
161,0
162,0
163,4
164,0
165,4
166,2
167,4
168,0
169,2
170,4
171,4
172,4
173,4
174,2
175,2
176,0
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,0
185,0
186,2
187,2
188,2
189,2
190,2
191,4
192,0
193,2
194,2
195,4
196,4
197,2
198,4
199,2
200,0
201,2
202,4
203,4
204,2
205,4
206,4
207,4
208,4
209,4
210,4
211,0
212,4
213,2
214,0
215,4
216,2
217,0
218,4
219,0
220,4
221,0
222,4
223,0
224,2
225,0
226,0
227,0
228,0
229,2
230,0
231,4
232,2
233,2
234,0
235,0
236,4
237,2
238,4
239,4
240,0
241,2
242,2
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,0
251,4
252,4
253,4
254,0
255,0
256,0
257,4
258,4
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,2
268,4
269,2
270,4
271,0
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,0
280,0
281,2
282,0
283,2
284,2
285,4
286,2
287,4
288,2
289,4
290,4
291,4
292,0
293,0
294,4
295,0
296,0
297,0
298,4
299,0
300,2
301,2
302,0
303,2
304,0
305,2
306,4
307,0
308,2
309,4
310,2
311,2
312,4
313,4
314,0
315,4
316,4
317,4
318,4
319,4
320,4
321,2
322,4
323,4
324,2
325,2
326,2
327,0
328,2
329,4
330,2
331,2
332,2
333,0
334,0
335,4
336,0
337,4
338,4
339,4
340,2
341,4
342,4
343,0
344,4
345,2
346,4
347,0
348,2
349,4
350,4
351,2
352,4
353,4
354,4
355,4
356,4
357,4
358,4
359,4
360,2
361,0
362,4
363,4
364,4
365,2
366,4
367,4
368,4
369,4
370,4
371,2
372,4
373,0
374,0
375,2
376,0
377,2
378,0
379,0
380,4
381,0
382,2
383,0
384,0
385,0
386,2
387,2
388,2
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,2
397,0
398,0
399,2
400,0
401,2
402,0
403,0
404,4
405,4
406,0
407,2
408,0
409,0
410,0
411,2
412,2
413,2
414,4
415,2
416,4
417,0
418,2
419,2
420,2
421,2
422,0
423,2
424,2
425,4
426,4
427,4
428,2
429,2
430,4
431,2
432,2
433,2
434,2
435,4
436,2
437,2
438,0
439,4
440,0
441,2
442,2
443,4
444,2
445,2
446,2
447,2
448,0
449,4
450,4
451,4
452,4
453,0
454,4
455,0
456,4
457,4
458,4
459,2
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,4
472,2
473,2
474,4
475,2
476,4
477,4
478,4
479,4
480,0
481,0
482,0
483,2
484,4
485,4
486,2
487,4
488,2
489,4
490,4
491,4
492,2
493,2
494,0
495,2
496,0
497,0
